id;element_id;name;type;value;entity_id;worker_run_id;id;created;updated;name;type;polygon;image_id;rotation_angle;mirrored;worker_run_id;confidence
eb78704e-fbb9-45e8-ba78-1a96788e1286;f6e0d68b-bb25-43b5-bd11-fde61b1081b1;Lien;url;"https://gallica.bnf.fr/ark:/12148/bpt6k4605991q/f2.image.r=edward%20carson?rk=21459;2";;;f6e0d68b-bb25-43b5-bd11-fde61b1081b1;1756713599.94677;1756713599.94678;SHDGR__GR_2_K_247_147_044__0002.jpg;page;[[0, 0], [0, 2656], [1992, 2656], [1992, 0], [0, 0]];3356d010-64f7-4824-807b-b6e372583151;0;0;7f599895-ce6b-4a0b-a933-e4704c5b0175;
1dcecd4e-56ee-4763-be15-17d83e6bc686;f6e0d68b-bb25-43b5-bd11-fde61b1081b1;Lien;url;"https://gallica.bnf.fr/ark:/12148/bpt6k4606410v/f2.image.r=edward%20carson?rk=64378;0";;;f6e0d68b-bb25-43b5-bd11-fde61b1081b1;1756713599.94677;1756713599.94678;SHDGR__GR_2_K_247_147_044__0002.jpg;page;[[0, 0], [0, 2656], [1992, 2656], [1992, 0], [0, 0]];3356d010-64f7-4824-807b-b6e372583151;0;0;7f599895-ce6b-4a0b-a933-e4704c5b0175;
1e880e7f-5192-4438-9943-ec07e6c4c6a8;1c6634e8-e2da-4139-bf80-c9f05ed7d937;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51316112k/f1.item.r=(prOx:%20%22pygm%C3%A9es%22%2030%20%22dansant%22)#;;;1c6634e8-e2da-4139-bf80-c9f05ed7d937;1758023442.31259;1758023442.31261;SHDGR__GR_2_K_247_2_010_0002.tif;page;[[0, 0], [0, 1852], [2636, 1852], [2636, 0], [0, 0]];50cd3e48-f969-4ff7-b947-dd2813c91b52;0;0;961c844b-b939-44a5-8629-a4a90d768322;
e61d2de4-2cc3-4356-92fa-a4c805cd6f7e;1c6634e8-e2da-4139-bf80-c9f05ed7d937;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51184666/f4.double.r=congo;;;1c6634e8-e2da-4139-bf80-c9f05ed7d937;1758023442.31259;1758023442.31261;SHDGR__GR_2_K_247_2_010_0002.tif;page;[[0, 0], [0, 1852], [2636, 1852], [2636, 0], [0, 0]];50cd3e48-f969-4ff7-b947-dd2813c91b52;0;0;961c844b-b939-44a5-8629-a4a90d768322;
fd3a4fb4-69ec-454e-b26d-d8391e5ca6de;da72929c-24ad-4bc9-a707-985d66e5b5e0;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51316112k/f5.item.r=(prOx:%20%22pygm%C3%A9es%22%2030%20%22dansant%22);;;da72929c-24ad-4bc9-a707-985d66e5b5e0;1758023635.04944;1758023635.04945;SHDGR__GR_2_K_247_2_015_0002.tif;page;[[0, 0], [0, 1660], [2220, 1660], [2220, 0], [0, 0]];b1ede8ad-f995-4276-a208-9fd75a6ced6b;0;0;f8ddccf1-2c0c-47fe-aa5f-09930b555b81;
0909d152-623b-488c-a43c-c43bb985439a;da72929c-24ad-4bc9-a707-985d66e5b5e0;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t521434854/f14.double.r=pygm%C3%A9es%20pygm%C3%A9es;;;da72929c-24ad-4bc9-a707-985d66e5b5e0;1758023635.04944;1758023635.04945;SHDGR__GR_2_K_247_2_015_0002.tif;page;[[0, 0], [0, 1660], [2220, 1660], [2220, 0], [0, 0]];b1ede8ad-f995-4276-a208-9fd75a6ced6b;0;0;f8ddccf1-2c0c-47fe-aa5f-09930b555b81;
564bbe7f-96ba-4372-adc8-028dc350378e;77478709-5792-42ea-a2a4-c32d6221e83e;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51316112k/f3.item.r=(prOx:%20%22pygm%C3%A9es%22%2030%20%22dansant%22);;;77478709-5792-42ea-a2a4-c32d6221e83e;1758023918.63963;1758023918.63964;SHDGR__GR_2_K_247_2_016_0002.tif;page;[[0, 0], [0, 1720], [2208, 1720], [2208, 0], [0, 0]];3f3b97ea-8f8a-49a9-ad89-71b250e4312d;0;0;9afda55a-4f57-4cfa-96c9-c5b761ac2b60;
0bbaecfe-4625-4566-8f47-ecd152700bce;77478709-5792-42ea-a2a4-c32d6221e83e;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51184666/f4.double.r=congo;;;77478709-5792-42ea-a2a4-c32d6221e83e;1758023918.63963;1758023918.63964;SHDGR__GR_2_K_247_2_016_0002.tif;page;[[0, 0], [0, 1720], [2208, 1720], [2208, 0], [0, 0]];3f3b97ea-8f8a-49a9-ad89-71b250e4312d;0;0;9afda55a-4f57-4cfa-96c9-c5b761ac2b60;
546fa08f-c259-44b1-8b0f-cfa13b14133c;dbc5a86c-e024-45d8-98af-e83fa8f8d1b6;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51316112k/f3.item.r=(prOx:%20%22pygm%C3%A9es%22%2030%20%22dansant%22);;;dbc5a86c-e024-45d8-98af-e83fa8f8d1b6;1758023919.31978;1758023919.31979;SHDGR__GR_2_K_247_2_017_0002.tif;page;[[0, 0], [0, 1868], [2400, 1868], [2400, 0], [0, 0]];71734756-d5cc-47cb-8f73-88accbf2806b;0;0;9afda55a-4f57-4cfa-96c9-c5b761ac2b60;
fcef1589-f825-46a8-8a1c-89407712e51c;dbc5a86c-e024-45d8-98af-e83fa8f8d1b6;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51184666/f4.double.r=congo;;;dbc5a86c-e024-45d8-98af-e83fa8f8d1b6;1758023919.31978;1758023919.31979;SHDGR__GR_2_K_247_2_017_0002.tif;page;[[0, 0], [0, 1868], [2400, 1868], [2400, 0], [0, 0]];71734756-d5cc-47cb-8f73-88accbf2806b;0;0;9afda55a-4f57-4cfa-96c9-c5b761ac2b60;
2d66470d-f45b-40be-a280-c2aaa448dd08;31677da8-f7d9-4822-a656-c8fc19e61279;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51316112k/f4.item.r=(prOx:%20%22pygm%C3%A9es%22%2030%20%22dansant%22)#;;;31677da8-f7d9-4822-a656-c8fc19e61279;1758023920.12507;1758023920.12508;SHDGR__GR_2_K_247_2_019_0002.tif;page;[[0, 0], [0, 1860], [2008, 1860], [2008, 0], [0, 0]];582883ee-3ef4-4284-893e-76525881e96e;0;0;9afda55a-4f57-4cfa-96c9-c5b761ac2b60;
edff0ed3-866b-46c6-b69f-441af263a7ee;31677da8-f7d9-4822-a656-c8fc19e61279;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51184666/f4.double.r=congo;;;31677da8-f7d9-4822-a656-c8fc19e61279;1758023920.12507;1758023920.12508;SHDGR__GR_2_K_247_2_019_0002.tif;page;[[0, 0], [0, 1860], [2008, 1860], [2008, 0], [0, 0]];582883ee-3ef4-4284-893e-76525881e96e;0;0;9afda55a-4f57-4cfa-96c9-c5b761ac2b60;
a1abce1c-038e-44b6-9638-9403657452e3;be1cea7c-2046-450f-92dc-cb310293ebe4;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t521434854/f14.double.r=pygm%C3%A9es%20pygm%C3%A9es;;;be1cea7c-2046-450f-92dc-cb310293ebe4;1758024257.0092;1758024257.00921;SHDGR__GR_2_K_247_2_023_0002.tif;page;[[0, 0], [0, 2480], [3300, 2480], [3300, 0], [0, 0]];ced210f3-5353-46aa-8653-ac70589223f1;0;0;4abf5a64-5b4a-4899-a00a-4b7e7569ac8b;
d8dfe55b-e1c7-4391-b73f-0aa931fc8d71;adccde65-1893-4954-be9f-440f9985baeb;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t51316112k/f2.item.r=(prOx:%20%22pygm%C3%A9es%22%2030%20%22dansant%22);;;adccde65-1893-4954-be9f-440f9985baeb;1758024257.71502;1758024257.71503;SHDGR__GR_2_K_247_2_050_0002.tif;page;[[0, 0], [0, 2824], [2428, 2824], [2428, 0], [0, 0]];ccc3eb63-b114-4d18-9aa9-0c909ea19f52;0;0;4abf5a64-5b4a-4899-a00a-4b7e7569ac8b;
9ebc5aba-9f79-456b-b70f-09b201e53dda;a772d3c8-399c-41d9-8136-b4c8bc18305b;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t52130440b/f8.item.r=togoland%22sciences%20et%20voyages%22%20togoland.zoom;;;a772d3c8-399c-41d9-8136-b4c8bc18305b;1758024258.61976;1758024258.61977;SHDGR__GR_2_K_247_2_052_0002.tif;page;[[0, 0], [0, 4832], [1956, 4832], [1956, 0], [0, 0]];0b556ebe-4685-421c-a58a-7635600be5b8;0;0;4abf5a64-5b4a-4899-a00a-4b7e7569ac8b;
6f5bb230-6802-4b22-a01a-1b0730251079;6b7057fe-1ed5-4b1d-867b-d90d4a2193b4;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t52143473x/f14.double.r=oubangui;;;6b7057fe-1ed5-4b1d-867b-d90d4a2193b4;1758024625.42903;1758024625.42904;SHDGR__GR_2_K_247_2_057_0002.tif;page;[[0, 0], [0, 2088], [2928, 2088], [2928, 0], [0, 0]];460ba19a-6841-4aa4-a05e-e444dc84688a;0;0;e5d9f2e8-6d8c-4128-9619-7692cd187c2c;
d19312dd-7972-4bd9-a325-50bb9970c424;f5d73f04-3150-4468-8bd8-bc53abf401a6;Lien;url;https://gallica.bnf.fr/ark:/12148/bd6t521304210/f4.double;;;f5d73f04-3150-4468-8bd8-bc53abf401a6;1758024626.0665;1758024626.06651;SHDGR__GR_2_K_247_2_069_0002.tif;page;[[0, 0], [0, 1948], [1484, 1948], [1484, 0], [0, 0]];f05aff18-25ec-44f4-93ea-1fab5b451f0c;0;0;e5d9f2e8-6d8c-4128-9619-7692cd187c2c;
84d2beeb-9852-427f-a498-d7be0efca68d;717bcfed-a69c-499d-b45d-56ea27952674;Lien;url;https://gallica.bnf.fr/ark:/12148/bpt6k1036029b/f3.double.r=Afrique;;;717bcfed-a69c-499d-b45d-56ea27952674;1758024626.78503;1758024626.78504;SHDGR__GR_2_K_247_2_136_0002.tif;page;[[0, 0], [0, 2100], [2892, 2100], [2892, 0], [0, 0]];e83f3833-75eb-4fbe-8706-d230b6192f26;0;0;e5d9f2e8-6d8c-4128-9619-7692cd187c2c;
